Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time	Loss
1	-347.1882	0.0	-347.1882	-347.1882	-645.23303	57.51656	-574.50037	-734.31006	1000.0	1000.0	999	3.676637887954712	0.0
2	-182.06422	0.0	-182.06422	-182.06422	-649.897	54.14006	-572.36633	-755.2177	1000.0	1000.0	1999	7.3695268630981445	0.0
3	-88.84263	0.0	-88.84263	-88.84263	-662.4553	77.73897	-540.3098	-813.7008	1000.0	1000.0	2999	10.990175008773804	0.0
4	-133.03734	0.0	-133.03734	-133.03734	-665.90906	66.47685	-522.921	-747.47675	1000.0	1000.0	3999	14.571272850036621	0.0
5	-344.9478	0.0	-344.9478	-344.9478	-649.62976	46.210976	-578.00836	-738.8659	1000.0	1000.0	4999	18.327523946762085	0.0
6	-243.14078	0.0	-243.14078	-243.14078	-669.25824	84.09659	-601.4794	-905.11523	1000.0	1000.0	5999	22.275325775146484	0.0
7	-333.85883	0.0	-333.85883	-333.85883	-644.59326	62.767075	-549.7518	-780.48395	1000.0	1000.0	6999	26.128370761871338	0.0
8	-318.2902	0.0	-318.2902	-318.2902	-597.32605	51.49136	-544.97034	-729.67786	1000.0	1000.0	7999	30.12215495109558	0.0
9	-326.69016	0.0	-326.69016	-326.69016	-693.6935	60.092476	-574.2443	-789.6153	1000.0	1000.0	8999	33.96922302246094	0.0
10	-240.27318	0.0	-240.27318	-240.27318	-707.2871	90.33312	-588.13745	-888.1976	1000.0	1000.0	9999	37.70192790031433	0.0
11	-2604.5837	0.0	-2604.5837	-2604.5837	-6142.8955	397.308	-5828.3174	-7319.198	1000.0	1000.0	10999	44.58721613883972	0.35606232
12	-3124.463	0.0	-3124.463	-3124.463	-2282.5515	438.65295	-1709.4496	-2977.562	1000.0	1000.0	11999	51.3745698928833	0.6909464
13	-2534.891	0.0	-2534.891	-2534.891	-1365.6982	139.69641	-1086.7526	-1534.6394	1000.0	1000.0	12999	58.13221597671509	0.83115983
14	-940.5441	0.0	-940.5441	-940.5441	-985.4756	319.66568	-579.1271	-1631.961	1000.0	1000.0	13999	64.96110200881958	0.8172929
15	-897.1116	0.0	-897.1116	-897.1116	-958.21405	41.740223	-872.8766	-1025.5698	1000.0	1000.0	14999	71.52724289894104	0.8680844
16	-653.16815	0.0	-653.16815	-653.16815	-622.4647	42.026897	-536.0334	-702.91833	1000.0	1000.0	15999	77.88486909866333	0.8507844
17	-445.3697	0.0	-445.3697	-445.3697	-559.88464	67.902664	-498.2965	-738.7387	1000.0	1000.0	16999	84.27241396903992	0.79018736
18	-712.35626	0.0	-712.35626	-712.35626	-327.4695	38.425037	-282.7031	-406.67358	1000.0	1000.0	17999	90.65532684326172	0.7937107
19	-333.58813	0.0	-333.58813	-333.58813	-1016.1333	364.11832	-300.47534	-1319.8226	1000.0	1000.0	18999	97.0188238620758	0.80523545
20	-1134.0852	0.0	-1134.0852	-1134.0852	-850.4352	121.502754	-526.1129	-984.1903	1000.0	1000.0	19999	103.50446605682373	0.84824365
21	-637.0806	0.0	-637.0806	-637.0806	-431.59464	178.55707	-188.94641	-811.0995	1000.0	1000.0	20999	109.92049503326416	0.8972812
22	-506.55862	0.0	-506.55862	-506.55862	-127.37752	35.85732	-77.08973	-206.99077	1000.0	1000.0	21999	116.35943484306335	0.84747505
23	-221.11224	0.0	-221.11224	-221.11224	-147.25461	11.439046	-129.22736	-163.34142	1000.0	1000.0	22999	122.83594703674316	0.77757215
24	-176.01584	0.0	-176.01584	-176.01584	-163.21523	10.75638	-143.1257	-180.4333	1000.0	1000.0	23999	129.30435919761658	0.7065005
25	-120.90896	0.0	-120.90896	-120.90896	-92.810104	7.2691255	-82.31851	-105.53531	1000.0	1000.0	24999	135.95486783981323	0.7001572
26	-59.17477	0.0	-59.17477	-59.17477	-29.96925	13.644908	-10.804098	-55.1318	1000.0	1000.0	25999	142.3306438922882	0.6804154
27	-81.33635	0.0	-81.33635	-81.33635	-101.85278	34.761894	-60.450073	-187.0471	1000.0	1000.0	26999	148.75234508514404	0.67234534
28	-132.67708	0.0	-132.67708	-132.67708	-113.181885	27.50428	-72.33636	-150.45148	1000.0	1000.0	27999	155.16355919837952	0.64201176
29	-88.7619	0.0	-88.7619	-88.7619	-146.95088	62.341404	-71.82802	-294.3675	1000.0	1000.0	28999	161.49072194099426	0.6056126
30	-49.620186	0.0	-49.620186	-49.620186	-89.26202	77.63339	22.359243	-271.59564	1000.0	1000.0	29999	167.86561799049377	0.6075917
31	114.27556	0.0	114.27556	114.27556	-44.47835	25.763391	-1.527195	-79.569016	1000.0	1000.0	30999	174.39762711524963	0.5935141
32	1.0732422	0.0	1.0732422	1.0732422	-30.374039	27.68476	29.629662	-72.822586	1000.0	1000.0	31999	180.76213693618774	0.5819631
33	13.091598	0.0	13.091598	13.091598	-18.514297	38.631557	56.27654	-63.707108	1000.0	1000.0	32999	187.15178298950195	0.55964965
34	-65.69798	0.0	-65.69798	-65.69798	-26.507095	18.41799	13.534922	-54.717045	1000.0	1000.0	33999	193.57700395584106	0.5662545
35	-32.904453	0.0	-32.904453	-32.904453	-17.349154	13.524949	2.241359	-41.373856	1000.0	1000.0	34999	200.0043330192566	0.55444986
36	-23.863424	0.0	-23.863424	-23.863424	15.890332	39.5881	108.44215	-41.452682	1000.0	1000.0	35999	206.4243381023407	0.5539175
37	16.161446	0.0	16.161446	16.161446	-36.093895	9.186039	-19.97531	-47.003174	1000.0	1000.0	36999	212.90346598625183	0.56635565
38	-33.81313	0.0	-33.81313	-33.81313	0.03659158	36.72753	72.3112	-43.172245	1000.0	1000.0	37999	219.2648470401764	0.5517358
39	-19.896881	0.0	-19.896881	-19.896881	30.671436	90.87287	266.2468	-55.28154	1000.0	1000.0	38999	225.62273287773132	0.54596716
40	-18.855082	0.0	-18.855082	-18.855082	61.380035	94.178444	222.43918	-100.210335	1000.0	1000.0	39999	232.06694793701172	0.54708594
41	235.02019	0.0	235.02019	235.02019	98.49009	123.56982	285.59222	-168.78055	1000.0	1000.0	40999	238.60155200958252	0.5547477
42	-143.74529	0.0	-143.74529	-143.74529	222.47324	117.21182	419.0931	50.296555	1000.0	1000.0	41999	244.93869590759277	0.5540902
43	-73.48894	0.0	-73.48894	-73.48894	97.841705	76.780846	197.886	-59.61995	1000.0	1000.0	42999	251.35555601119995	0.5563666
44	184.07039	0.0	184.07039	184.07039	115.14662	45.601063	202.82776	38.238354	1000.0	1000.0	43999	257.6316010951996	0.54629177
45	117.8312	0.0	117.8312	117.8312	17.823896	53.711777	102.39684	-74.13399	1000.0	1000.0	44999	263.8844771385193	0.5524511
