Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time	Loss
1	-262.85156	0.0	-262.85156	-262.85156	-694.3089	82.27647	-599.19617	-825.3427	1000.0	1000.0	999	3.5651159286499023	0.0
2	-190.00374	0.0	-190.00374	-190.00374	-600.31274	60.45593	-488.64734	-670.892	1000.0	1000.0	1999	7.061392784118652	0.0
3	-291.81158	0.0	-291.81158	-291.81158	-659.45734	81.5057	-582.32806	-844.7056	1000.0	1000.0	2999	10.559321880340576	0.0
4	-316.3814	0.0	-316.3814	-316.3814	-694.26544	56.876095	-592.8506	-778.80475	1000.0	1000.0	3999	14.099525928497314	0.0
5	-374.0715	0.0	-374.0715	-374.0715	-659.8019	80.41882	-539.1108	-834.4278	1000.0	1000.0	4999	17.644649982452393	0.0
6	-401.26553	0.0	-401.26553	-401.26553	-667.7816	61.10238	-567.48114	-751.29584	1000.0	1000.0	5999	21.17223286628723	0.0
7	-339.05417	0.0	-339.05417	-339.05417	-629.7607	63.70036	-521.8197	-764.25354	1000.0	1000.0	6999	24.683202743530273	0.0
8	-336.85822	0.0	-336.85822	-336.85822	-577.0851	69.00342	-447.9621	-669.185	1000.0	1000.0	7999	28.205960988998413	0.0
9	-264.0061	0.0	-264.0061	-264.0061	-661.1831	59.864532	-545.49084	-762.9452	1000.0	1000.0	8999	31.739649057388306	0.0
10	-286.0231	0.0	-286.0231	-286.0231	-649.0443	44.18628	-580.5948	-730.74384	1000.0	1000.0	9999	35.28556275367737	0.0
11	-2198.5027	0.0	-2198.5027	-2198.5027	-5627.419	134.54533	-5417.5034	-5881.1743	1000.0	1000.0	10999	41.5888876914978	0.283255
12	-4146.569	0.0	-4146.569	-4146.569	-1775.1448	284.16006	-1454.472	-2356.4167	1000.0	1000.0	11999	47.85244870185852	0.9266517
13	-2560.1309	0.0	-2560.1309	-2560.1309	-1889.7205	104.34735	-1698.8062	-2027.9275	1000.0	1000.0	12999	54.12062168121338	0.83002687
14	-2170.6948	0.0	-2170.6948	-2170.6948	-1903.8162	191.69101	-1596.2297	-2106.3882	1000.0	1000.0	13999	60.30944275856018	1.035818
15	-1065.4668	0.0	-1065.4668	-1065.4668	-849.1634	97.68298	-619.89636	-962.7551	1000.0	1000.0	14999	66.51489996910095	0.89334965
16	-866.9417	0.0	-866.9417	-866.9417	-522.5385	119.47454	-292.24136	-694.28174	1000.0	1000.0	15999	72.72291469573975	0.8262005
17	-349.23248	0.0	-349.23248	-349.23248	-176.11208	76.62299	-68.40099	-283.55212	1000.0	1000.0	16999	79.2838249206543	0.81653416
18	-168.85489	0.0	-168.85489	-168.85489	-196.87617	26.157993	-156.3517	-256.58487	1000.0	1000.0	17999	85.57783508300781	0.808453
19	-194.58646	0.0	-194.58646	-194.58646	-195.19862	36.591278	-149.59665	-271.80344	1000.0	1000.0	18999	92.12909698486328	0.8176087
20	-214.97546	0.0	-214.97546	-214.97546	-154.81865	25.230566	-95.47583	-188.48401	1000.0	1000.0	19999	98.44622898101807	0.8030975
21	-142.85954	0.0	-142.85954	-142.85954	-66.19472	52.64907	36.109207	-138.55101	1000.0	1000.0	20999	104.7065179347992	0.796087
22	1.5004728	0.0	1.5004728	1.5004728	-57.97063	60.913555	33.176376	-217.892	1000.0	1000.0	21999	111.21316885948181	0.7655466
23	-43.958836	0.0	-43.958836	-43.958836	-125.28975	104.491615	53.33238	-296.85144	1000.0	1000.0	22999	117.72163891792297	0.7660737
24	-155.10684	0.0	-155.10684	-155.10684	-130.63339	33.79028	-74.14538	-187.32616	1000.0	1000.0	23999	124.4029278755188	0.7621582
25	-121.35569	0.0	-121.35569	-121.35569	-139.58578	32.3519	-86.09528	-184.56584	1000.0	1000.0	24999	130.66342401504517	0.7540609
26	-71.03634	0.0	-71.03634	-71.03634	-109.80009	39.752686	-48.337	-158.57108	1000.0	1000.0	25999	136.92033696174622	0.7548884
27	-149.39188	0.0	-149.39188	-149.39188	-71.33384	68.194695	49.454967	-192.11722	1000.0	1000.0	26999	143.18473982810974	0.76018715
28	-99.82638	0.0	-99.82638	-99.82638	-97.61113	51.16015	-11.38252	-175.87236	1000.0	1000.0	27999	149.5425889492035	0.735522
29	-36.169373	0.0	-36.169373	-36.169373	-43.168568	46.71898	26.841085	-109.70219	1000.0	1000.0	28999	155.8124828338623	0.7300634
30	-29.222393	0.0	-29.222393	-29.222393	61.235573	47.73051	116.19563	-61.811264	1000.0	1000.0	29999	162.23308181762695	0.73006356
31	85.64621	0.0	85.64621	85.64621	8.12356	56.141968	108.21087	-92.21835	1000.0	1000.0	30999	168.56340789794922	0.7272261
32	-69.510254	0.0	-69.510254	-69.510254	62.72918	27.76193	112.44997	26.771347	1000.0	1000.0	31999	174.8403127193451	0.72720665
33	89.56527	0.0	89.56527	89.56527	100.66392	29.945896	146.471	49.036827	1000.0	1000.0	32999	181.11389183998108	0.73361564
34	156.35214	0.0	156.35214	156.35214	156.46802	69.53761	235.05559	-7.669809	1000.0	1000.0	33999	187.33721590042114	0.7310689
35	156.45871	0.0	156.45871	156.45871	143.19771	62.72912	257.84995	47.91467	1000.0	1000.0	34999	193.61425375938416	0.7159303
36	189.6901	0.0	189.6901	189.6901	229.58484	44.22109	317.81577	167.97572	1000.0	1000.0	35999	199.85591578483582	0.7061855
37	245.39616	0.0	245.39616	245.39616	291.94662	66.10304	376.42438	196.2773	1000.0	1000.0	36999	206.03891372680664	0.69428176
38	353.59042	0.0	353.59042	353.59042	272.57962	34.46911	339.99863	221.2464	1000.0	1000.0	37999	212.30469465255737	0.7023784
39	359.33023	0.0	359.33023	359.33023	306.50974	69.200264	436.89896	198.49199	1000.0	1000.0	38999	219.18380188941956	0.7174614
40	323.9022	0.0	323.9022	323.9022	445.31616	42.847782	495.22766	375.78766	1000.0	1000.0	39999	225.79336285591125	0.7331019
41	386.59103	0.0	386.59103	386.59103	442.899	43.556744	518.09344	360.34174	1000.0	1000.0	40999	232.167582988739	0.74623054
42	448.62143	0.0	448.62143	448.62143	525.88446	71.88096	639.117	401.20276	1000.0	1000.0	41999	238.60386896133423	0.75744814
43	460.9226	0.0	460.9226	460.9226	434.70483	75.93329	553.09924	290.49835	1000.0	1000.0	42999	245.3577699661255	0.7722948
44	543.2783	0.0	543.2783	543.2783	522.5377	122.83659	658.27545	321.77286	1000.0	1000.0	43999	252.03782081604004	0.8004539
45	556.985	0.0	556.985	556.985	595.7856	98.433395	770.5734	418.14673	1000.0	1000.0	44999	258.5345628261566	0.8109156
46	490.00256	0.0	490.00256	490.00256	460.1373	212.0885	577.13666	-170.83566	1000.0	1000.0	45999	265.42685079574585	0.8264471
47	708.96747	0.0	708.96747	708.96747	576.49786	194.12555	780.75287	156.80043	1000.0	1000.0	46999	272.03161692619324	0.83795106
48	664.0325	0.0	664.0325	664.0325	608.1779	303.42065	897.41296	-139.59985	1000.0	1000.0	47999	278.40633606910706	0.84761316
49	465.83725	0.0	465.83725	465.83725	552.3817	292.26154	818.8085	70.24368	1000.0	1000.0	48999	284.64776492118835	0.8550877
50	830.0656	0.0	830.0656	830.0656	480.49567	370.99698	998.8407	-155.74373	1000.0	1000.0	49999	291.15187883377075	0.86891824
51	667.83777	0.0	667.83777	667.83777	755.3019	339.2344	1099.9197	-166.53197	1000.0	1000.0	50999	297.4147038459778	0.88281417
52	-184.66444	0.0	-184.66444	-184.66444	485.2373	359.02704	864.0741	-143.13477	1000.0	1000.0	51999	303.6653027534485	0.897535
53	895.0915	0.0	895.0915	895.0915	582.63995	371.2986	899.8628	-20.521233	1000.0	1000.0	52999	309.9152886867523	0.9373474
54	-94.06607	0.0	-94.06607	-94.06607	424.9478	270.9287	941.9208	43.40632	1000.0	1000.0	53999	316.1279046535492	0.9534601
55	874.38654	0.0	874.38654	874.38654	363.04523	344.94748	1017.9087	-112.91761	1000.0	1000.0	54999	322.4082350730896	0.965126
56	751.3159	0.0	751.3159	751.3159	156.37459	333.2206	697.602	-167.59894	1000.0	1000.0	55999	328.78477478027344	1.0047284
57	890.3217	0.0	890.3217	890.3217	338.101	415.42484	1102.7311	-151.1158	1000.0	1000.0	56999	335.0388858318329	1.0313169
58	216.7943	0.0	216.7943	216.7943	296.03326	398.09274	999.1595	-181.94241	1000.0	1000.0	57999	341.30432987213135	1.0917155
59	-129.44731	0.0	-129.44731	-129.44731	199.54544	408.16092	1096.5295	-215.01299	1000.0	1000.0	58999	347.54078793525696	1.0626485
60	564.96497	0.0	564.96497	564.96497	233.88374	303.2145	673.1017	-184.06523	1000.0	1000.0	59999	353.82881903648376	1.1040705
61	598.79065	0.0	598.79065	598.79065	272.40045	241.31184	734.4047	-128.46646	1000.0	1000.0	60999	360.24806571006775	1.108319
62	-243.3179	0.0	-243.3179	-243.3179	663.92224	432.68866	1172.2627	11.173238	1000.0	1000.0	61999	366.5164318084717	1.1205565
63	324.6083	0.0	324.6083	324.6083	288.14142	497.2707	1144.5751	-337.86392	1000.0	1000.0	62999	372.80619597435	1.1870419
64	-131.97803	0.0	-131.97803	-131.97803	77.023544	301.5874	863.7627	-183.50526	1000.0	1000.0	63999	379.0399386882782	1.1778034
65	1068.1897	0.0	1068.1897	1068.1897	151.96965	292.71625	742.36584	-176.23131	1000.0	1000.0	64999	385.3159508705139	1.209106
66	68.470726	0.0	68.470726	68.470726	283.0556	442.58868	1096.725	-96.74401	1000.0	1000.0	65999	391.9908359050751	1.2337866
67	1351.2255	0.0	1351.2255	1351.2255	793.6877	471.96335	1234.9279	-30.783041	1000.0	1000.0	66999	398.3034338951111	1.2393357
68	-90.25312	0.0	-90.25312	-90.25312	562.936	550.48083	1376.832	-312.60727	1000.0	1000.0	67999	404.5565137863159	1.2531316
69	-168.30261	0.0	-168.30261	-168.30261	562.7981	377.13028	1131.9845	-12.521372	1000.0	1000.0	68999	410.8447458744049	1.2962269
70	-89.48242	0.0	-89.48242	-89.48242	847.4164	439.67313	1278.7657	-73.62992	1000.0	1000.0	69999	417.1095747947693	1.3230805
71	979.14294	0.0	979.14294	979.14294	868.50037	439.5282	1205.9244	-72.03285	1000.0	1000.0	70999	423.41129088401794	1.3469963
72	1047.2119	0.0	1047.2119	1047.2119	1008.488	225.39679	1289.5135	590.5365	1000.0	1000.0	71999	429.6605980396271	1.3514178
73	-70.19498	0.0	-70.19498	-70.19498	839.6478	566.033	1364.8707	-26.41902	1000.0	1000.0	72999	435.90599489212036	1.373356
74	10.008328	0.0	10.008328	10.008328	1000.18164	325.9554	1296.9423	166.7938	1000.0	1000.0	73999	442.19103479385376	1.4135516
75	1234.8201	0.0	1234.8201	1234.8201	906.7533	503.76193	1401.4989	56.64304	1000.0	1000.0	74999	448.40971183776855	1.4396225
76	1198.9227	0.0	1198.9227	1198.9227	791.11163	577.9055	1356.2831	-304.90594	1000.0	1000.0	75999	454.9694948196411	1.5012093
77	956.43616	0.0	956.43616	956.43616	1102.8667	146.68086	1290.1996	785.49976	1000.0	1000.0	76999	461.26987075805664	1.5521357
78	1102.1384	0.0	1102.1384	1102.1384	1158.989	100.77341	1293.3751	1019.326	1000.0	1000.0	77999	467.52909803390503	1.6239722
79	1151.5864	0.0	1151.5864	1151.5864	1119.5565	237.99431	1444.6812	503.47818	1000.0	1000.0	78999	473.96756982803345	1.6313971
80	1288.9122	0.0	1288.9122	1288.9122	1228.0109	53.670208	1288.1783	1102.7306	1000.0	1000.0	79999	480.2627499103546	1.6639127
81	1063.341	0.0	1063.341	1063.341	1159.8018	72.50378	1286.0593	1022.3323	1000.0	1000.0	80999	486.5754098892212	1.678875
82	1206.7996	0.0	1206.7996	1206.7996	1128.9426	71.738525	1268.0312	981.8644	1000.0	1000.0	81999	492.82164096832275	1.8054622
83	1191.7511	0.0	1191.7511	1191.7511	998.4121	302.25058	1281.19	157.3006	1000.0	1000.0	82999	499.3692059516907	1.7449117
84	1132.1752	0.0	1132.1752	1132.1752	985.159	285.77692	1225.667	395.19867	1000.0	1000.0	83999	505.77943778038025	1.8037673
85	1093.2737	0.0	1093.2737	1093.2737	1073.3663	342.18466	1287.6893	73.10486	1000.0	1000.0	84999	512.0783360004425	1.6777866
86	1268.6166	0.0	1268.6166	1268.6166	1213.4565	86.56261	1346.9767	1099.6897	1000.0	1000.0	85999	518.50599193573	1.7612987
87	1387.1907	0.0	1387.1907	1387.1907	1191.885	103.157524	1366.6635	993.8952	1000.0	1000.0	86999	525.1910989284515	1.7217234
88	1162.5834	0.0	1162.5834	1162.5834	1180.8723	73.50584	1300.4425	1062.896	1000.0	1000.0	87999	531.8984909057617	1.710596
89	1184.2924	0.0	1184.2924	1184.2924	1236.5952	72.97346	1380.283	1147.8148	1000.0	1000.0	88999	538.6093308925629	1.8302034
90	1440.8455	0.0	1440.8455	1440.8455	1320.7025	102.17986	1501.5555	1172.3234	1000.0	1000.0	89999	545.0816798210144	1.8283675
91	1431.1068	0.0	1431.1068	1431.1068	1299.1544	102.76863	1458.3912	1120.6704	1000.0	1000.0	90999	551.4137270450592	1.779261
92	1339.6414	0.0	1339.6414	1339.6414	1380.8562	139.84048	1574.1194	1190.7206	1000.0	1000.0	91999	557.762533903122	1.7797941
93	1316.382	0.0	1316.382	1316.382	1316.8441	103.35649	1494.5125	1098.7666	1000.0	1000.0	92999	564.055830001831	1.7965589
94	1425.701	0.0	1425.701	1425.701	1269.2664	52.3096	1344.4885	1132.2823	1000.0	1000.0	93999	570.3095598220825	1.8978689
95	1380.225	0.0	1380.225	1380.225	1224.2507	106.180725	1470.0386	1089.6855	1000.0	1000.0	94999	576.5685458183289	1.949692
96	1182.6581	0.0	1182.6581	1182.6581	1263.7883	66.017624	1381.2573	1145.2153	1000.0	1000.0	95999	582.8864548206329	1.9200717
97	1440.6753	0.0	1440.6753	1440.6753	1384.8613	78.76003	1534.3661	1228.5192	1000.0	1000.0	96999	589.111478805542	1.8567996
98	1480.2654	0.0	1480.2654	1480.2654	1416.1254	102.40832	1545.8519	1158.4082	1000.0	1000.0	97999	595.3336577415466	1.8929363
99	1349.8235	0.0	1349.8235	1349.8235	1313.3353	231.84547	1535.183	654.1476	1000.0	1000.0	98999	601.548966884613	1.8543341
100	1420.66	0.0	1420.66	1420.66	1294.4391	348.96286	1557.0571	293.08945	1000.0	1000.0	99999	607.8015596866608	1.8551279
101	1371.4465	0.0	1371.4465	1371.4465	1180.2505	431.51227	1476.6978	230.10078	1000.0	1000.0	100999	614.0196318626404	1.8422676
102	1251.4172	0.0	1251.4172	1251.4172	1279.6263	85.11232	1456.2795	1115.3286	1000.0	1000.0	101999	620.3392939567566	2.0575442
103	1493.802	0.0	1493.802	1493.802	1466.7582	100.1038	1623.4457	1324.2314	1000.0	1000.0	102999	626.554291009903	1.9473014
104	1421.9646	0.0	1421.9646	1421.9646	1359.6354	131.55301	1596.4869	1071.4913	1000.0	1000.0	103999	632.7869567871094	2.0205927
105	1443.914	0.0	1443.914	1443.914	1417.4045	224.52663	1566.8444	763.22015	1000.0	1000.0	104999	639.0123348236084	1.9652344
106	1400.2996	0.0	1400.2996	1400.2996	1482.3074	64.61245	1599.6827	1416.0266	1000.0	1000.0	105999	645.2197067737579	1.9966016
107	1457.7144	0.0	1457.7144	1457.7144	1250.1074	401.50635	1490.5024	61.208397	1000.0	1000.0	106999	651.5509886741638	1.8528173
108	1485.8751	0.0	1485.8751	1485.8751	1408.2542	363.46445	1716.9456	351.5468	1000.0	1000.0	107999	657.7670748233795	1.9698899
109	1656.0273	0.0	1656.0273	1656.0273	1479.1265	104.1781	1669.8096	1328.148	1000.0	1000.0	108999	664.004716873169	1.9288357
110	1416.3584	0.0	1416.3584	1416.3584	1559.3318	133.32724	1854.6942	1423.9789	1000.0	1000.0	109999	670.5333068370819	2.0894966
111	1595.5518	0.0	1595.5518	1595.5518	1531.0211	77.05477	1690.572	1430.213	1000.0	1000.0	110999	676.9243588447571	2.032861
112	1564.1019	0.0	1564.1019	1564.1019	1531.8226	98.31834	1715.3888	1401.0571	1000.0	1000.0	111999	683.3713879585266	2.1162782
113	1620.9858	0.0	1620.9858	1620.9858	1634.5259	141.54895	1831.3365	1405.5707	1000.0	1000.0	112999	690.0357980728149	1.963189
114	1722.8422	0.0	1722.8422	1722.8422	1627.5203	98.77436	1833.5385	1484.6265	1000.0	1000.0	113999	696.491574048996	1.9865371
115	1636.8997	0.0	1636.8997	1636.8997	1486.1794	96.60522	1653.6482	1323.0533	1000.0	1000.0	114999	703.0508718490601	2.188173
116	1505.147	0.0	1505.147	1505.147	1526.2976	296.75058	1756.0582	674.3579	1000.0	1000.0	115999	709.7664468288422	2.0368392
117	1607.3496	0.0	1607.3496	1607.3496	1593.6193	95.98234	1693.8871	1374.8589	1000.0	1000.0	116999	716.8381147384644	2.12697
118	1673.9935	0.0	1673.9935	1673.9935	1647.8285	344.77582	1945.2349	651.0199	1000.0	1000.0	117999	723.1395149230957	2.1394818
119	1518.5381	0.0	1518.5381	1518.5381	1744.7493	150.97455	1960.1794	1482.7098	1000.0	1000.0	118999	730.3239459991455	2.1564267
120	1623.9417	0.0	1623.9417	1623.9417	1672.6956	115.19458	1869.9823	1484.3951	1000.0	1000.0	119999	737.215488910675	2.1792336
121	1600.3469	0.0	1600.3469	1600.3469	1520.3389	74.704315	1690.4293	1430.5126	1000.0	1000.0	120999	743.9748978614807	2.1049209
122	1691.9435	0.0	1691.9435	1691.9435	1556.3197	126.954704	1810.2853	1373.0887	1000.0	1000.0	121999	750.8469557762146	2.159617
123	-295.85895	0.0	-295.85895	-295.85895	1651.8275	75.09722	1778.3093	1497.0773	1000.0	1000.0	122999	757.3952479362488	2.257842
124	1622.9192	0.0	1622.9192	1622.9192	1632.1262	138.19688	1907.8881	1467.4612	1000.0	1000.0	123999	763.8564038276672	2.2039778
125	1703.0831	0.0	1703.0831	1703.0831	1505.5876	509.16315	1797.0094	-0.85452056	1000.0	1000.0	124999	770.5711998939514	2.29202
126	1775.6703	0.0	1775.6703	1775.6703	1584.4696	487.80136	1861.6764	137.28764	1000.0	1000.0	125999	777.7628517150879	2.3426914
127	1792.1162	0.0	1792.1162	1792.1162	1668.5885	79.37855	1816.0833	1568.4418	1000.0	1000.0	126999	784.4648768901825	2.2295501
128	1973.8363	0.0	1973.8363	1973.8363	1556.2018	560.41907	1865.1775	-108.913765	1000.0	1000.0	127999	791.3065979480743	2.2674074
129	1692.9337	0.0	1692.9337	1692.9337	1700.849	109.547005	1854.4878	1499.0338	1000.0	1000.0	128999	798.3032028675079	2.30503
130	1661.3302	0.0	1661.3302	1661.3302	1749.403	102.15299	1912.9805	1581.554	1000.0	1000.0	129999	805.19682097435	2.2758405
131	1869.6195	0.0	1869.6195	1869.6195	1694.2488	75.70332	1845.1924	1563.3075	1000.0	1000.0	130999	811.7248346805573	2.2622788
132	1732.5051	0.0	1732.5051	1732.5051	1654.5153	102.849434	1787.445	1399.1737	1000.0	1000.0	131999	818.4478268623352	2.328842
133	1662.0511	0.0	1662.0511	1662.0511	1741.5531	116.50464	1957.538	1578.9861	1000.0	1000.0	132999	825.5778839588165	2.2300792
134	1671.2589	0.0	1671.2589	1671.2589	1666.9867	379.40237	1943.7821	566.5176	1000.0	1000.0	133999	832.8773288726807	2.1953056
135	-148.67865	0.0	-148.67865	-148.67865	1605.8458	266.8387	1865.5538	914.16565	1000.0	1000.0	134999	839.8030698299408	2.3158736
136	1820.7688	0.0	1820.7688	1820.7688	1485.0637	602.7651	1800.4441	-310.58093	1000.0	1000.0	135999	846.2031507492065	2.4150717
137	1665.5614	0.0	1665.5614	1665.5614	1886.3411	126.329735	2070.0266	1741.5916	1000.0	1000.0	136999	852.5419447422028	2.423667
138	1811.4485	0.0	1811.4485	1811.4485	1685.5846	70.68746	1839.353	1587.5509	1000.0	1000.0	137999	859.3716807365417	2.3971815
139	1986.8276	0.0	1986.8276	1986.8276	1781.651	106.99346	1955.0148	1546.6918	1000.0	1000.0	138999	866.0610718727112	2.4591422
140	1539.8224	0.0	1539.8224	1539.8224	1674.4534	86.86759	1818.6989	1546.2013	1000.0	1000.0	139999	872.3420107364655	2.4288912
141	1636.1753	0.0	1636.1753	1636.1753	1506.4882	101.778275	1667.6726	1297.1311	1000.0	1000.0	140999	878.5864279270172	2.4402251
142	1787.9983	0.0	1787.9983	1787.9983	1256.8943	544.76965	1728.0348	50.09773	1000.0	1000.0	141999	884.8751916885376	2.452967
